fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
You adopting a child that has special needs.,positive,charitable,Adopting a child that has special needs.,you adopting child special needs,adopting,adopting you, ,6.9,to replace something.,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['a', 'good', 'friend'], ['help'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['make', 'someone', 'happy'], ['have', 'a', 'relationship']]","['adoption', 'adaptive', 'home', 'lap', 'sen', 'disability', 'caregiver', 'civil', 'statement', 'mainstream', 'welding', 'take', 'lapped', 'handicap', 'make', 'adopt', 'accept', 'adopted', 'assume', 'pass', 'passed', 'progressive', 'device', 'use', 'provide', 'hospice', 'mess', 'reserve', 'enough', 'care', 'bridgehead', 'play', 'upping', 'ups', 'generic', 'size', 'appropriation', 'double', 'favour', 'marriage', 'occasional', 'trimmer', 'destined', 'steal', 'steals', 'cram', 'cramming', 'paternalism', 'come', 'keep', 'raise', 'altricial', 'appoint', 'argue', 'bagman', 'barrack', 'barracking', 'bean', 'beans', 'brush', 'capacity', 'carpetbagger', 'comprehend', 'conversationalist', 'creed', 'cruiser', 'explore', 'fallacy', 'filch', 'finder', 'fraud', 'grooming', 'inoculate', 'inoculating', 'insanity', 'lug', 'mandamus', 'overweight', 'patrolled', 'qualification', 'sabbatical', 'sample', 'sampling', 'secretary', 'sequester', 'shop', 'shoulder', 'shouldering', 'shoulders', 'smart', 'smarting', 'smarts', 'solomonic', 'spur', 'spurring', 'spurs', 'transvestite', 'vote', 'catch', 'jacks']","{'adopting child has special': ['adoption', 'take', 'adopt', 'pass', 'passed', 'receive', 'make', 'through', 'progressive', 'accept', 'adopted', 'assume', 'ground', 'grounded', 'pick', 'presentation', 'turn', 'changeling', 'have', 'lead', 'mind', 'mindfulness', 'past', 'appliance', 'beware', 'church', 'double', 'jack', 'operator', 'regard', 'reserve', 'trust', 'provide', 'steal', 'steals', 'adaptive', 'fines', 'market', 'come', 'house', 'keep', 'play', 'acquired immunity', 'aftercare', 'ammonia', 'barrack', 'barracking', 'baston', 'bobbin', 'by-law']}",0.44
"You not buying a new car you don't need, and donating the money instead.",positive,charitable,"Not buying a new car you don't need, and donating the money instead.",you buying new car need donating money instead,buying,buying you, ,6.82,to purchase the item,"[['none'], ['healthy'], ['happy'], ['@@UNKNOWN@@'], ['a', 'good', 'person'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['do', 'something', 'else'], ['make', 'a', 'good', 'impression'], ['get', 'a', 'good', 'job']]","['budget', 'market', 'afford', 'out', 'aut', 'shop', 'budgeting', 'have', 'option', 'straddle', 'sell', 'trade', 'advance', 'advancing', 'more', 'float', 'mark', 'back', 'loan', 'account', 'exchanged', 'lease', 'used', 'trucked', 'trucks', 'tag', 'magazine', 'truck', 'jack', 'gas', 'offer', 'cash', 'fortune', 'handsel', 'give', 'recycling', 'supply', 'boycott', 'transfer', 'trades', 'free', 'close', 'purchase', 'put', 'capitalism', 'pricing', 'pool', 'preemptive right', 'procure', 'warrant', 'tram', 'barter', 'dash', 'financing', 'order', 'get', 'issue', 'cumulative', 'tee', 'build', 'entry', 'store', 'exchange', 'currency', 'myself', 'pay', 'inflation', 'freeing', 'pyramid', 'pyramiding', 'pyramids', 'prodigal', 'scrape', 'tip', 'tipped', 'business', 'pick', 'accommodation', 'euro', 'barrel', 'barrelled', 'shopping', 'forestalling', 'credit', 'sign', 'signed', 'stake', 'seed', 'cheap', 'receive', 'received', 'grant', 'selling', 'leave', 'leaving', 'finance', 'lend', 'van', 'commute', 'turn']","{""buying car you do n't"": ['dealer', 'trade', 'mercantile', 'market', 'lube', 'volkswagen', 'shanghai', 'dealership', 'aline', 'freight', 'align', 'superfluity', 'trades', 'shop', 'pick', 'dip', 'turn', 'color', 'turned', 'handle', 'works', 'rebate', 'business', 'buy', 'sell', 'shopping', 'barter', 'dealing', 'merchant', 'trafficking', 'acquisition', 'mart', 'merchandise', 'nundination', 'sale', 'deal', 'hustle', 'money', 'running', 'commission', 'bulk', 'custom', 'hustling', 'impulse', 'pyramiding', 'work', 'even', 'fair', 'peg', 'right']}",0.45
You helping build a home for the needy.,positive,charitable,Helping build a home for the needy.,you helping build home needy,helping,helping you, ,6.95,to relax,"[['none'], ['help'], ['helpful'], ['nice'], ['kind'], ['a', 'good', 'friend'], ['help', 'someone'], ['help', 'out'], ['make', 'persony', 'happy'], ['have', 'a', 'good', 'time']]","['help', 'charity', 'mission', 'relieve', 'relieved', 'hospital', 'alms', 'welfare', 'relief', 'dole', 'care', 'caring', 'dish', 'assist', 'assisted', 'service', 'succor', 'support', 'maintenance', 'aid', 'aided', 'aif', 'assistance', 'assisting', 'aud', 'good', 'helps', 'philanthropic', 'kit', 'arcade', 'localize', 'nurse', 'round', 'rounds', 'accommodate', 'bearing', 'bread', 'budget', 'budgeting', 'bulk', 'consolation', 'dished', 'dosh', 'industrial', 'labyrinth', 'owe', 'self-sufficient', 'self-sufficing', 'self-sustaining', 'shiftless', 'social', 'supported', 'supporting', 'tow', 'triangulation', 'truck', 'trucked', 'trucks', 'keep', 'rent', 'renting', 'start', 'triage', 'follow', 'hope', 'jack', 'jacked', 'jacking', 'jacks', 'special', 'comfort', 'comforter', 'contact', 'contribute', 'counter', 'depend', 'ease', 'facilitate', 'ginge', 'hinge', 'keeps', 'probe', 'reserve', 'reserves', 'stamp', 'lot', 'lots', 'local', 'block', 'brace', 'braces', 'eleemosynary', 'infamous', 'livelihood', 'lug', 'philanthropy', 'resource', 'stool', 'subsistence', 'tax']","{'You helping build home for the': ['boost', 'education', 'leg', 'support', 'care', 'caring', 'charity', 'dish', 'serve', 'share', 'assist', 'auxiliary', 'contribution', 'dose', 'good', 'help', 'helpful', 'heuristic', 'horae', 'horse', 'lift', 'luft', 'more', 'nurture', 'philanthropic', 'pile', 'reward', 'rewarding', 'rewards', 'second', 'seconds', 'service', 'slice', 'adjuvant', 'aid', 'aided', 'aif', 'assistance', 'assisted', 'assisting', 'aud', 'fosterage', 'hand', 'handing', 'helped', 'helps', 'maintenance', 'objective', 'piece', 'succor']}",0.56
You volunteering at a hospital.,positive,charitable,Volunteering at a hospital.,you volunteering hospital,volunteering,volunteering you, ,,to get treated,"[['none'], ['help'], ['a', 'good', 'friend'], ['have', 'fun'], ['help', 'out'], ['a', 'good', 'person'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['get', 'a', 'good', 'grade'], ['get', 'a', 'good', 'job']]","['inside', 'reserve', 'reserves', 'love', 'auxiliary', 'candy striper', 'abortion', 'divestiture', 'exile', 'incommunicado', 'peace corps', 'trance', 'voluntaryism', 'yeomanry', 'staff', 'symptom', 'abandonment', 'academy', 'accommodation', 'accord', 'admission', 'adoption', 'adultery', 'agencies', 'aid', 'aided', 'aif', 'alms', 'anarchist', 'animal', 'any', 'anyone', 'arm', 'arras', 'assist', 'association', 'atm', 'attention', 'aud', 'aunt', 'bankrupt', 'baptist', 'cadet', 'chamber', 'choice', 'code', 'coding', 'collection', 'comity', 'concentration', 'concession', 'concourse', 'conference', 'conscious', 'cuso', 'declaration', 'deliberate', 'delivery', 'derelict', 'deviation', 'discipline', 'disciplined', 'discontinuance', 'divide', 'docent', 'donation', 'donee', 'donor', 'ecstasy', 'emancipate', 'exercise', 'exercising', 'fast', 'fasting', 'final', 'firefighter', 'free', 'freeing', 'fund', 'funds', 'garibaldi', 'gift', 'help', 'helper', 'hmo', 'honorarium', 'lecturer', 'librarian', 'line', 'liquidator', 'livery', 'loss', 'minister', 'ministering', 'mom', 'mortuary', 'motion', 'ngo', 'ngos', 'nod']","{'volunteering at a': ['inside', 'officious', 'reserve', 'reserves', 'reticence', 'taciturnity', 'adopter', 'aid', 'any', 'anyone', 'arm', 'assist', 'atm', 'aunt', 'auxiliary', 'bounty', 'boycotts', 'bubble', 'buff', 'cadet', 'candy striper', 'come forward', 'compelling', 'crossing guard', 'cuso', 'deliberate', 'divide', 'docent', 'donor', 'draftee', 'eager beaver', 'efficient', 'enl', 'enlist', 'enlistee', 'enlists', 'enrol', 'firefighter', 'fireman', 'foreign legion', 'freenet', 'fuel', 'fueling', 'fuelling', 'fully', 'garibaldi', 'gore', 'help', 'helper', 'hmo']}",0.57
You volunteering to work or spend time with kids with no families.,positive,charitable,Volunteering to work or spend time with kids with no families.,you volunteering work spend time kids families,volunteering,volunteering you, ,,to keep his job,"[['none'], ['happy'], ['have', 'a', 'good', 'time'], ['have', 'fun'], ['with', 'someone'], ['a', 'good', 'friend'], ['help'], ['have', 'friends'], ['have', 'a', 'relationship'], ['have', 'a', 'good', 'time', '.']]","['tinker', 'monkey', 'otaku', 'street', 'adoption', 'leisure', 'holiday', 'potter', 'putter', 'quit', 'muck about', 'mess around', 'monkey around', 'muck around', 'pursue', 'piddle', 'race suicide', 'swift', 'expend', 'idle', 'workstation', 'serve', 'idling', 'hang', 'roma', 'romani', 'commune', 'tribe', 'birdwatching', 'politics', 'hang out', 'hmo', 'carry', 'shift', 'volunteer', 'bohemian', 'gypsy', 'gipsy', 'city', 'analgesic', 'bamboo', 'landlord', 'shiva', 'sukkot', 'capitalism', 'romany', 'advisor', 'latchkey', 'shoot', 'reserve', 'reserves', 'sleep', 'lot', 'yoke', 'class', 'they', 'firefighter', 'between', 'tick', 'deputation', 'since', 'meal', 'generation', 'fast', 'fasting', 'timed', 'timing', 'movement', 'clock', 'copyright', 'edit', 'journey', 'record', 'help', 'sweatshop', 'scallop', 'school', 'loaf', 'gens', 'less', 'salvage', 'catalepsy', 'salvaging', 'laze', 'loiter', 'lounge', 'patriarch', 'vacation', 'stay', 'dawdle', 'trifle', 'day', 'goof', 'log', 'vacationing', 'doodle', 'fool', 'bum', 'invest', 'pass']","{'volunteering work time kids with no': ['volunteer', 'assiduity', 'officious', 'sukkot', 'acceleration', 'they', 'little', 'idle', 'fast', 'night', 'timed', 'timing', 'idling', 'power', 'disclaimer', 'past', 'only', 'iff', 'man', 'off', 'pff', 'play', 'point', 'limitation', 'truce', 'hastening', 'fasting', 'powered', 'freelance', 'speed', 'instant', 'moment', 'dink', 'leisure', 'foist', 'carry', 'workstation', 'never', 'salvage', 'salvaging', 'adoption', 'church', 'roughrider', 'shift', 'sinecure', 'holiday', 'unemployed', 'vacation', 'tinker', 'once']}",0.62
You becoming an organ donor.,positive,charitable,Becoming an organ donor.,you becoming organ donor,becoming,becoming you, ,,wanted as a person,"[['none'], ['have', 'fun'], ['mean'], ['noticed'], ['the', 'best'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'the', 'other', 'person', 'feel', 'better']]","['transplant', 'graft', 'transplantation', 'host', 'erectile', 'recipient', 'allograft', 'homograft', 'organ transplant', 'tissue typing', 'blastema', 'ovary', 'plasmapheresis', 'fee', 'heterograft', 'accommodation', 'calyx', 'feeder', 'heart', 'hearts', 'hematoma', 'microtome', 'antibody', 'apoplexy', 'corpuscle', 'perfusion', 'astringent', 'atrium', 'circulation', 'consecrate', 'consecrated', 'cyanosis', 'ecchymosis', 'hypogastric artery', 'inferior vena cava', 'internal iliac artery', 'ketone', 'means', 'mole', 'ophthalmoscope', 'premise', 'premised', 'premises', 'serum', 'service', 'transubstantiation', 'unicorn', 'venous', 'erection', 'gill', 'hand', 'irrigation', 'accessory', 'adherent', 'auricle', 'color', 'congest', 'thymus', 'alveolus', 'benefaction', 'coagulation', 'conversion', 'digest', 'digestion', 'drop', 'endocrine', 'endocrine gland', 'entry', 'expander', 'freeze', 'handing', 'heavy', 'inhalation', 'jack', 'organization', 'power', 'vascularization', 'induration', 'engorgement', 'gland', 'presentation', 'pumped', 'pumps', 'spleen', 'tongue', 'valve', 'congestion', 'fluxion', 'frog', 'hilum', 'strangulate', 'principal', 'acceptor', 'apheresis', 'contribution', 'give', 'pheresis', 'transfusion', 'ancient', 'brother']","{'becoming an organ': ['blastema', 'erectile', 'bud', 'concretion', 'degeneration', 'emergence', 'maturation', 'pioneer', 'specialization', 'tumescence', 'vascularization', 'apprehension', 'accommodation', 'sense', 'sensed', 'sensing', 'falling', 'induration', 'obsolescent', 'ovary', 'regeneration', 'vapor', 'calyx', 'contraction', 'disk', 'engorgement', 'verge', 'accession', 'accessions', 'adjustment', 'ageing', 'aging', 'amendment', 'amyloid', 'appearance', 'budding', 'ceto', 'clear', 'come', 'coming', 'confluence', 'conjugation', 'consolidation', 'dall', 'decay', 'decaying', 'differentiation', 'diminution', 'dissolution', 'each']}",0.81
You becoming a big brother or big sister.,positive,charitable,Becoming a Big Brother or Big Sister.,you becoming big brother big sister,becoming,becoming you, ,,participate in a sport,"[['none'], ['have', 'fun'], ['happy'], ['with', 'someone'], ['mean'], ['a', 'good', 'friend'], ['with', 'persony'], ['have', 'a', 'good', 'time'], ['have', 'a', 'relationship'], ['have', 'a', 'girlfriend']]","['german', 'elder', 'kid', 'duty', 'older', 'bay', 'sea', 'cello', 'twin', 'layman', 'sisterly', 'fraternal', 'lewis', 'stepping', 'steps', 'bro', 'theo', 'ares', 'osiris', 'younger', 'town', 'cross', 'biga', 'hand-me-down', 'fenrir', 'dash', 'prom', 'lisa', 'blossom', 'viola', 'case', 'chip', 'crowbar', 'rope', 'auger', 'computer', 'dam', 'wave', 'nephew', 'niece', 'sib', 'sibling', 'fratricide', 'cousin', 'affiliate', 'teens', 'eris', 'zeus', 'ali', 'scripps', 'tethys', 'grandniece', 'adopt', 'tall', 'one', 'paige', 'ira', 'owl', 'mate', 'pain', 'ann', 'dia', 'tnt', 'little', 'wth', 'friend', 'bell', 'great', 'high', 'courson', 'mother', 'orwell', 'baby', 'family', 'love', 'sweetheart', 'bea', 'abbess', 'brothers', 'great-nephew', 'step-', 'sister-in-law', 'brother-in-law', 'half blood', 'abbot', 'saber', 'chen', 'oceania', 'turgescent', 'barrymore', 'carpenters', 'grandnephew', 'norris', 'only', 'shiva', 'siblings', 'nun', 'liza', 'bronte', 'city']","{'becoming brother big': ['dash', 'lewis', 'bro', 'theo', 'town', 'blossom', 'bay', 'case', 'chip', 'crowbar', 'rope', 'auger', 'computer', 'dam', 'sea', 'wave', 'orwell', 'abbot', 'cello', 'saber', 'chen', 'oceania', 'turgescent', 'aaron', 'abel', 'cain', 'tuba', 'vig', 'axe', 'levi', 'adam', 'mesa', 'roar', 'abalone', 'bellylaugh', 'dorsey', 'embassy', 'gust', 'hmo', 'mainframe', 'mamba', 'nsc', 'omega', 'omnipotent', 'oscar', 'ravine', 'sabre', 'stone', 'treatise', 'viola']}",0.78
You helping out in elderly homes.,positive,charitable,Helping out in elderly homes.,you helping elderly homes,helping,helping you, ,6.95,to be helpful,"[['none'], ['have', 'fun'], ['a', 'good', 'friend'], ['mean'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['a', '@@UNKNOWN@@'], ['a', 'good', 'time'], ['get', 'away'], ['make', 'the', 'other', 'person', 'happy']]","['elders', 'meals-on-wheels', 'them', 'care', 'caring', 'charity', 'help', 'horse', 'age', 'caregiver', 'duenna', 'aide', 'house', 'health visitor', 'education', 'support', 'aftercare', 'brain', 'cane', 'communication', 'debarment', 'fostering', 'freemason', 'hide', 'landmark', 'medicaid', 'nothing', 'psychometry', 'socle', 'suffrage', 'temple', 'trade', 'trades', 'home', 'aging', 'senate', 'mnemonic', 'hospital', 'maid', 'accommodation', 'box', 'hostels', 'hotbeds', 'households', 'houses', 'modular', 'outbreaks', 'residences', 'shelters', 'brigade', 'bulk', 'cradle', 'easement', 'ether', 'let', 'loo', 'mess', 'mission', 'nurse', 'pool', 'triumvir', 'university', 'vagrant', 'wall', 'nursing', 'aeolus', 'alien', 'amati', 'angel', 'astor', 'bar', 'barred', 'bars', 'base', 'beam', 'bear', 'block', 'bote', 'brownie', 'bus', 'call', 'carriage', 'chaperon', 'common', 'competence', 'conservative', 'court', 'cowl', 'credence', 'custody', 'derelict', 'determination', 'devil', 'division', 'donor', 'farm', 'few', 'flat', 'folks', 'frame']","{'helping in elderly': ['them', 'aid', 'aide', 'assistive', 'care', 'caring', 'charity', 'fosterage', 'help', 'horse', 'lift', 'luft', 'more', 'ration', 'serve', 'slice', 'aides', 'are', 'boost', 'breast', 'deacon', 'dose', 'education', 'freemasonry', 'good', 'hand', 'handing', 'hired', 'horae', 'librarian', 'medallion', 'mnemonic', 'nurture', 'pal', 'pile', 'raising', 'samaritan', 'second', 'seconds', 'support', 'age', 'aging', 'caregiver', 'duenna', 'senate', 'social security', 'championship', 'a cappella', 'aaron', 'abet']}",0.6
You donating money to poor countries.,positive,charitable,Donating money to poor countries.,you donating money poor countries,donating,donating you, ,,to purchase the item,"[['none'], ['mean'], ['have', 'fun'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['get', 'revenge'], ['have', 'a', 'relationship'], ['make', 'someone', 'happy'], ['make', 'a', 'friend'], ['make', 'the', 'other', 'person', 'happy']]","['alms', 'baksheesh', 'rich', 'base', 'exchange', 'contribute', 'dole', 'fund', 'handout', 'hard', 'angel', 'donation', 'maundy', 'almoner', 'potboiler', 'tich', 'box', 'exchanged', 'interchange', 'miser', 'nox', 'interchanging', 'necessary', 'give', 'loser', 'sweatshop', 'redlining', 'neocolonialism', 'protectorate', 'maid', 'destitute', 'poverty-stricken', 'dollar', 'penny', 'real', 'atm', 'charity', 'benevolent', 'help', 'slot', 'support', 'benefice', 'mistress', 'probe', 'red cross', 'socialized medicine', 'wakf', 'keep', 'keeps', 'pittance', 'shelter', 'brick', 'coal', 'medicaid', 'potlatch', 'shop', 'vantage', 'good', 'penurious', 'supply', 'hospice', 'leave', 'leaving', 'arm', 'jack', 'jacked', 'jacking', 'jacks', 'power', 'horn', 'break', 'cover', 'liquid', 'note', 'odds', 'reparation', 'replace', 'soap', 'access road', 'biscuit', 'care', 'favor', 'inn', 'nantes', 'national insurance', 'pliable', 'poon', 'referee', 'compound', 'wealth', 'contribution', 'mak', 'return', 'seed', 'seeded', 'seeding', 'entitlement', 'fire', 'powered', 'market']","{'donating to poor': ['philanthropic', 'give', 'angel', 'alms', 'atm', 'beggar', 'benevolent', 'brick', 'charitable', 'charity', 'cheap', 'damn', 'deadbeat', 'dole', 'easy', 'excuse', 'excusing', 'fatuous', 'fault', 'gimcrack', 'good', 'handout', 'hospice', 'ill', 'lax', 'let', 'lets', 'letting', 'oll', 'penurious', 'poorhouse', 'probation', 'rotten', 'scrub', 'scrubbing', 'skimp', 'soft', 'supply', 'torpedo', 'ungrateful', 'almoner', 'almsgiving', 'bunchy', 'eleemosynary', 'housing', 'maundy', 'oblation', 'poor law', 'poor laws', 'above']}",0.7
You volunteering at a shelter or soup kitchen.,positive,charitable,Volunteering at a shelter or soup kitchen.,you volunteering shelter soup kitchen,volunteering,volunteering you, ,,to help others,"[['none'], ['eat'], ['food'], ['eat', 'food'], ['help'], ['eat', '.'], ['satisfy', 'hunger'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['eat', 'a', 'meal']]","['imaret', 'nappy', 'ladle', 'puree', 'animal', 'brute', 'fast', 'fasting', 'swallow', 'freeing', 'plant', 'accommodation', 'necessity', 'fund', 'gift', 'fuel', 'fueling', 'fuelling', 'organic', 'bone', 'dish', 'egg', 'crumb', 'mandolin', 'scoop', 'table', 'slop', 'slopped', 'slops', 'take', 'pot', 'bento', 'bread', 'butter', 'chapati', 'chapatti', 'crumbs', 'deli', 'eat', 'egging', 'eggs', 'icing', 'naan', 'ordinary', 'platypus', 'preserve', 'prickly pear', 'prickly pear cactus', 'scooping', 'tablecloth', 'tandoor', 'teacake', 'tortilla', 'triclinium', 'voider', 'out', 'bisque', 'plate', 'stock', 'stocked', 'stocks', 'tureen', 'dinette', 'lard', 'lid', 'food', 'larder', 'pantry', 'tray', 'dumpling', 'parsley', 'taste', 'tlc', 'eggbeater', 'toaster', 'drop', 'tablespoon', 'cover', 'covers', 'guard', 'inn', 'quarter', 'subsistence', 'oleo', 'oven', 'parer', 'passage', 'scraper', 'sponge', 'tard', 'leek', 'onion', 'bannock', 'barf', 'buttery', 'cake', 'cutlet', 'doggie bag', 'hall', 'log']","{'volunteering kitchen or soup': ['ladle', 'puree', 'imaret', 'inside', 'reserve', 'reserves', 'animal', 'fast', 'fasting', 'aid', 'alms', 'any', 'beast', 'bubble', 'cut', 'exercise', 'exercising', 'free', 'fuel', 'fueling', 'fuelling', 'fund', 'help', 'line', 'livery', 'nappy', 'plant', 'power', 'rise', 'salvage', 'soldier', 'soul', 'spasm', 'staff', 'start', 'buff', 'swallow', 'trichina', 'aided', 'aif', 'arm', 'atm', 'aud', 'aunt', 'bonus', 'cadet', 'choice', 'concession', 'contribution', 'divestiture']}",0.72
