model,features,accuracy,precision,recall,fold,dataset
KNeighborsClassifier,bert,0.48,0.48,0.48,0,vignettes_chadwick
GaussianNB,bert,0.46,0.46,0.46,0,vignettes_chadwick
LogisticRegression,bert,0.54,0.54,0.54,0,vignettes_chadwick
SVC,bert,0.5,0.5,0.5,0,vignettes_chadwick
KNeighborsClassifier,bert,0.46,0.46,0.46,1,vignettes_chadwick
GaussianNB,bert,0.39,0.39,0.39,1,vignettes_chadwick
LogisticRegression,bert,0.52,0.52,0.52,1,vignettes_chadwick
SVC,bert,0.45,0.45,0.45,1,vignettes_chadwick
KNeighborsClassifier,bert,0.45,0.45,0.45,2,vignettes_chadwick
GaussianNB,bert,0.43,0.43,0.43,2,vignettes_chadwick
LogisticRegression,bert,0.49,0.49,0.49,2,vignettes_chadwick
SVC,bert,0.51,0.51,0.51,2,vignettes_chadwick
KNeighborsClassifier,bert,0.49,0.49,0.49,3,vignettes_chadwick
GaussianNB,bert,0.46,0.46,0.46,3,vignettes_chadwick
LogisticRegression,bert,0.51,0.51,0.51,3,vignettes_chadwick
SVC,bert,0.54,0.54,0.54,3,vignettes_chadwick
KNeighborsClassifier,bert,0.43,0.43,0.43,4,vignettes_chadwick
GaussianNB,bert,0.5,0.5,0.5,4,vignettes_chadwick
LogisticRegression,bert,0.53,0.53,0.53,4,vignettes_chadwick
SVC,bert,0.5,0.5,0.5,4,vignettes_chadwick
KNeighborsClassifier,bert,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
GaussianNB,bert,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,vignettes_mccurrie
LogisticRegression,bert,0.6153846153846154,0.6153846153846154,0.6153846153846154,0,vignettes_mccurrie
SVC,bert,0.6153846153846154,0.6153846153846154,0.6153846153846154,0,vignettes_mccurrie
KNeighborsClassifier,bert,0.38461538461538464,0.38461538461538464,0.38461538461538464,1,vignettes_mccurrie
GaussianNB,bert,0.2307692307692308,0.2307692307692308,0.2307692307692308,1,vignettes_mccurrie
LogisticRegression,bert,0.38461538461538464,0.38461538461538464,0.38461538461538464,1,vignettes_mccurrie
SVC,bert,0.2307692307692308,0.2307692307692308,0.2307692307692308,1,vignettes_mccurrie
KNeighborsClassifier,bert,0.4615384615384616,0.4615384615384616,0.4615384615384616,2,vignettes_mccurrie
GaussianNB,bert,0.4615384615384616,0.4615384615384616,0.4615384615384616,2,vignettes_mccurrie
LogisticRegression,bert,0.4615384615384616,0.4615384615384616,0.4615384615384616,2,vignettes_mccurrie
SVC,bert,0.4615384615384616,0.4615384615384616,0.4615384615384616,2,vignettes_mccurrie
KNeighborsClassifier,bert,0.5,0.5,0.5,3,vignettes_mccurrie
GaussianNB,bert,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,vignettes_mccurrie
LogisticRegression,bert,0.5833333333333334,0.5833333333333334,0.5833333333333334,3,vignettes_mccurrie
SVC,bert,0.4166666666666667,0.4166666666666667,0.4166666666666667,3,vignettes_mccurrie
KNeighborsClassifier,bert,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
GaussianNB,bert,0.5,0.5,0.5,4,vignettes_mccurrie
LogisticRegression,bert,0.4166666666666667,0.4166666666666667,0.4166666666666667,4,vignettes_mccurrie
SVC,bert,0.4166666666666667,0.4166666666666667,0.4166666666666667,4,vignettes_mccurrie
KNeighborsClassifier,bert,0.4,0.4,0.4,0,vignettes_clifford
GaussianNB,bert,0.5,0.5,0.5,0,vignettes_clifford
LogisticRegression,bert,0.55,0.55,0.55,0,vignettes_clifford
SVC,bert,0.4,0.4,0.4,0,vignettes_clifford
KNeighborsClassifier,bert,0.45,0.45,0.45,1,vignettes_clifford
GaussianNB,bert,0.4,0.4,0.4,1,vignettes_clifford
LogisticRegression,bert,0.5,0.5,0.5,1,vignettes_clifford
SVC,bert,0.4,0.4,0.4,1,vignettes_clifford
KNeighborsClassifier,bert,0.5,0.5,0.5,2,vignettes_clifford
GaussianNB,bert,0.6,0.6,0.6,2,vignettes_clifford
LogisticRegression,bert,0.7,0.7,0.7,2,vignettes_clifford
SVC,bert,0.55,0.55,0.55,2,vignettes_clifford
KNeighborsClassifier,bert,0.55,0.55,0.55,3,vignettes_clifford
GaussianNB,bert,0.75,0.75,0.75,3,vignettes_clifford
LogisticRegression,bert,0.75,0.75,0.75,3,vignettes_clifford
SVC,bert,0.75,0.75,0.75,3,vignettes_clifford
KNeighborsClassifier,bert,0.6842105263157895,0.6842105263157895,0.6842105263157895,4,vignettes_clifford
GaussianNB,bert,0.6842105263157895,0.6842105263157895,0.6842105263157895,4,vignettes_clifford
LogisticRegression,bert,0.7894736842105263,0.7894736842105263,0.7894736842105263,4,vignettes_clifford
SVC,bert,0.631578947368421,0.631578947368421,0.631578947368421,4,vignettes_clifford
KNeighborsClassifier,glove,0.2,0.2,0.2,0,vignettes_clifford
GaussianNB,glove,0.2,0.2,0.2,0,vignettes_clifford
LogisticRegression,glove,0.35,0.35,0.35,0,vignettes_clifford
SVC,glove,0.35,0.35,0.35,0,vignettes_clifford
KNeighborsClassifier,glove,0.3,0.3,0.3,1,vignettes_clifford
GaussianNB,glove,0.15,0.15,0.15,1,vignettes_clifford
LogisticRegression,glove,0.45,0.45,0.45,1,vignettes_clifford
SVC,glove,0.45,0.45,0.45,1,vignettes_clifford
KNeighborsClassifier,glove,0.3,0.3,0.3,2,vignettes_clifford
GaussianNB,glove,0.3,0.3,0.3,2,vignettes_clifford
LogisticRegression,glove,0.3,0.3,0.3,2,vignettes_clifford
SVC,glove,0.3,0.3,0.3,2,vignettes_clifford
KNeighborsClassifier,glove,0.25,0.25,0.25,3,vignettes_clifford
GaussianNB,glove,0.2,0.2,0.2,3,vignettes_clifford
LogisticRegression,glove,0.2,0.2,0.2,3,vignettes_clifford
SVC,glove,0.2,0.2,0.2,3,vignettes_clifford
KNeighborsClassifier,glove,0.3684210526315789,0.3684210526315789,0.3684210526315789,4,vignettes_clifford
GaussianNB,glove,0.3684210526315789,0.3684210526315789,0.3684210526315789,4,vignettes_clifford
LogisticRegression,glove,0.3157894736842105,0.3157894736842105,0.3157894736842105,4,vignettes_clifford
SVC,glove,0.3157894736842105,0.3157894736842105,0.3157894736842105,4,vignettes_clifford
KNeighborsClassifier,glove,0.4615384615384616,0.4615384615384616,0.4615384615384616,0,vignettes_mccurrie
GaussianNB,glove,0.4615384615384616,0.4615384615384616,0.4615384615384616,0,vignettes_mccurrie
LogisticRegression,glove,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
SVC,glove,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
KNeighborsClassifier,glove,0.2307692307692308,0.2307692307692308,0.2307692307692308,1,vignettes_mccurrie
GaussianNB,glove,0.2307692307692308,0.2307692307692308,0.2307692307692308,1,vignettes_mccurrie
LogisticRegression,glove,0.4615384615384616,0.4615384615384616,0.4615384615384616,1,vignettes_mccurrie
SVC,glove,0.5384615384615384,0.5384615384615384,0.5384615384615384,1,vignettes_mccurrie
KNeighborsClassifier,glove,0.3076923076923077,0.3076923076923077,0.3076923076923077,2,vignettes_mccurrie
GaussianNB,glove,0.3076923076923077,0.3076923076923077,0.3076923076923077,2,vignettes_mccurrie
LogisticRegression,glove,0.5384615384615384,0.5384615384615384,0.5384615384615384,2,vignettes_mccurrie
SVC,glove,0.4615384615384616,0.4615384615384616,0.4615384615384616,2,vignettes_mccurrie
KNeighborsClassifier,glove,0.08333333333333333,0.08333333333333333,0.08333333333333333,3,vignettes_mccurrie
GaussianNB,glove,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,vignettes_mccurrie
LogisticRegression,glove,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,vignettes_mccurrie
SVC,glove,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,vignettes_mccurrie
KNeighborsClassifier,glove,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
GaussianNB,glove,0.5833333333333334,0.5833333333333334,0.5833333333333334,4,vignettes_mccurrie
LogisticRegression,glove,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
SVC,glove,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
KNeighborsClassifier,glove,0.18,0.18,0.18,0,vignettes_chadwick
GaussianNB,glove,0.2,0.2,0.2,0,vignettes_chadwick
LogisticRegression,glove,0.17,0.17,0.17,0,vignettes_chadwick
SVC,glove,0.06,0.06,0.06,0,vignettes_chadwick
KNeighborsClassifier,glove,0.14,0.14,0.14,1,vignettes_chadwick
GaussianNB,glove,0.07,0.07,0.07,1,vignettes_chadwick
LogisticRegression,glove,0.09,0.09,0.09,1,vignettes_chadwick
SVC,glove,0.05,0.05,0.05,1,vignettes_chadwick
KNeighborsClassifier,glove,0.14,0.14,0.14,2,vignettes_chadwick
GaussianNB,glove,0.18,0.18,0.18,2,vignettes_chadwick
LogisticRegression,glove,0.07,0.07,0.07,2,vignettes_chadwick
SVC,glove,0.06,0.06,0.06,2,vignettes_chadwick
KNeighborsClassifier,glove,0.13,0.13,0.13,3,vignettes_chadwick
GaussianNB,glove,0.17,0.17,0.17,3,vignettes_chadwick
LogisticRegression,glove,0.17,0.17,0.17,3,vignettes_chadwick
SVC,glove,0.07,0.07,0.07,3,vignettes_chadwick
KNeighborsClassifier,glove,0.11,0.11,0.11,4,vignettes_chadwick
GaussianNB,glove,0.22,0.22,0.22,4,vignettes_chadwick
LogisticRegression,glove,0.16,0.16,0.16,4,vignettes_chadwick
SVC,glove,0.1,0.1,0.1,4,vignettes_chadwick
