,model,features,accuracy,precision,recall
0,KNeighborsClassifier,reasoning,0.42017828200972446,0.42017828200972446,0.42017828200972446
1,GaussianNB,reasoning,0.16531604538087522,0.16531604538087522,0.16531604538087522
2,LogisticRegression,reasoning,0.4708265802269044,0.4708265802269044,0.4708265802269044
3,SVC,reasoning,0.49027552674230146,0.49027552674230146,0.49027552674230146
4,KNeighborsClassifier,emotion,0.28119935170178284,0.28119935170178284,0.28119935170178284
5,GaussianNB,emotion,0.1867909238249595,0.1867909238249595,0.1867909238249595
6,LogisticRegression,emotion,0.22123176661264182,0.22123176661264182,0.22123176661264182
7,SVC,emotion,0.24230145867098865,0.24230145867098865,0.24230145867098865
8,KNeighborsClassifier,both,0.3521069692058347,0.3521069692058347,0.3521069692058347
9,GaussianNB,both,0.19611021069692058,0.19611021069692058,0.19611021069692058
10,LogisticRegression,both,0.42787682333873583,0.42787682333873583,0.42787682333873583
11,SVC,both,0.40964343598055103,0.40964343598055103,0.40964343598055103
