,model,features,accuracy,precision,recall
0,KNeighborsClassifier,reasoning,0.8103727714748784,0.8103727714748784,0.8103727714748784
1,GaussianNB,reasoning,0.7710696920583469,0.7710696920583469,0.7710696920583469
2,LogisticRegression,reasoning,0.8192868719611021,0.8192868719611021,0.8192868719611021
3,SVC,reasoning,0.8342787682333873,0.8342787682333873,0.8342787682333873
4,KNeighborsClassifier,emotion,0.7613452188006483,0.7613452188006483,0.7613452188006483
5,GaussianNB,emotion,0.7568881685575365,0.7568881685575365,0.7568881685575365
6,LogisticRegression,emotion,0.7763371150729336,0.7763371150729336,0.7763371150729336
7,SVC,emotion,0.7803889789303079,0.7803889789303079,0.7803889789303079
8,KNeighborsClassifier,both,0.7787682333873582,0.7787682333873582,0.7787682333873582
9,GaussianNB,both,0.7811993517017828,0.7811993517017828,0.7811993517017828
10,LogisticRegression,both,0.8233387358184765,0.8233387358184765,0.8233387358184765
11,SVC,both,0.8213128038897893,0.8213128038897893,0.8213128038897893
