,model,features,accuracy,precision,recall,fold
0,KNeighborsClassifier,reasoning,0.03125,0.03125,0.03125,0
1,GaussianNB,reasoning,0.0,0.0,0.0,0
2,LogisticRegression,reasoning,0.0,0.0,0.0,0
3,SVC,reasoning,0.0,0.0,0.0,0
4,KNeighborsClassifier,emotion,0.09375,0.09375,0.09375,0
5,GaussianNB,emotion,0.03125,0.03125,0.03125,0
6,LogisticRegression,emotion,0.0,0.0,0.0,0
7,SVC,emotion,0.0,0.0,0.0,0
8,KNeighborsClassifier,both,0.0625,0.0625,0.0625,0
9,GaussianNB,both,0.0,0.0,0.0,0
10,LogisticRegression,both,0.0,0.0,0.0,0
11,SVC,both,0.0,0.0,0.0,0
12,KNeighborsClassifier,reasoning,0.0,0.0,0.0,1
13,GaussianNB,reasoning,0.0,0.0,0.0,1
14,LogisticRegression,reasoning,0.0,0.0,0.0,1
15,SVC,reasoning,0.0,0.0,0.0,1
16,KNeighborsClassifier,emotion,0.03125,0.03125,0.03125,1
17,GaussianNB,emotion,0.0,0.0,0.0,1
18,LogisticRegression,emotion,0.0,0.0,0.0,1
19,SVC,emotion,0.0,0.0,0.0,1
20,KNeighborsClassifier,both,0.0625,0.0625,0.0625,1
21,GaussianNB,both,0.0,0.0,0.0,1
22,LogisticRegression,both,0.0,0.0,0.0,1
23,SVC,both,0.0,0.0,0.0,1
24,KNeighborsClassifier,reasoning,0.03125,0.03125,0.03125,2
25,GaussianNB,reasoning,0.09375,0.09375,0.09375,2
26,LogisticRegression,reasoning,0.0,0.0,0.0,2
27,SVC,reasoning,0.0,0.0,0.0,2
28,KNeighborsClassifier,emotion,0.0,0.0,0.0,2
29,GaussianNB,emotion,0.03125,0.03125,0.03125,2
30,LogisticRegression,emotion,0.0,0.0,0.0,2
31,SVC,emotion,0.0,0.0,0.0,2
32,KNeighborsClassifier,both,0.0,0.0,0.0,2
33,GaussianNB,both,0.09375,0.09375,0.09375,2
34,LogisticRegression,both,0.0,0.0,0.0,2
35,SVC,both,0.0,0.0,0.0,2
36,KNeighborsClassifier,reasoning,0.1875,0.1875,0.1875,3
37,GaussianNB,reasoning,0.125,0.125,0.125,3
38,LogisticRegression,reasoning,0.09375,0.09375,0.09375,3
39,SVC,reasoning,0.09375,0.09375,0.09375,3
40,KNeighborsClassifier,emotion,0.25,0.25,0.25,3
41,GaussianNB,emotion,0.28125,0.28125,0.28125,3
42,LogisticRegression,emotion,0.34375,0.34375,0.34375,3
43,SVC,emotion,0.25,0.25,0.25,3
44,KNeighborsClassifier,both,0.25,0.25,0.25,3
45,GaussianNB,both,0.09375,0.09375,0.09375,3
46,LogisticRegression,both,0.1875,0.1875,0.1875,3
47,SVC,both,0.40625,0.40625,0.40625,3
48,KNeighborsClassifier,reasoning,0.25,0.25,0.25,4
49,GaussianNB,reasoning,0.15625,0.15625,0.15625,4
50,LogisticRegression,reasoning,0.15625,0.15625,0.15625,4
51,SVC,reasoning,0.15625,0.15625,0.15625,4
52,KNeighborsClassifier,emotion,0.125,0.125,0.125,4
53,GaussianNB,emotion,0.15625,0.15625,0.15625,4
54,LogisticRegression,emotion,0.15625,0.15625,0.15625,4
55,SVC,emotion,0.15625,0.15625,0.15625,4
56,KNeighborsClassifier,both,0.125,0.125,0.125,4
57,GaussianNB,both,0.15625,0.15625,0.15625,4
58,LogisticRegression,both,0.21875,0.21875,0.21875,4
59,SVC,both,0.15625,0.15625,0.15625,4
